disasterNumber,state,declarationDate,disasterType,title
3366,WV,1/10/2014,EM,CHEMICAL SPILL
3367,PA,2/6/2014,EM,SEVERE WINTER STORM
3368,GA,2/11/2014,EM,SEVERE WINTER STORM
3369,SC,2/12/2014,EM,SEVERE WINTER STORM
3370,WA,3/24/2014,EM,FLOODING AND MUDSLIDES
3371,WA,7/23/2014,EM,WILDFIRES
3372,WA,8/21/2015,EM,WILDFIRES
3373,SC,10/3/2015,EM,SEVERE STORMS AND FLOODING
4160,AR,1/6/2014,DR,SEVERE WINTER STORM
4161,AK,1/16/2014,DR,FLOODING
4162,AK,1/23/2014,DR,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
4163,VT,1/29/2014,DR,SEVERE WINTER STORMS
4164,OK,1/30/2014,DR,SEVERE WINTER STORM
4165,GA,3/6/2014,DR,SEVERE WINTER STORM
4166,SC,3/12/2014,DR,SEVERE WINTER STORM
4167,NC,3/31/2014,DR,SEVERE WINTER STORM
4168,WA,4/2/2014,DR,FLOODING AND MUDSLIDES
4169,OR,4/4/2014,DR,SEVERE WINTER STORM
4170,MD,4/10/2014,DR,SNOWSTORM
4171,TN,4/11/2014,DR,SEVERE WINTER STORM
4172,MT,4/17/2014,DR,ICE JAMS AND FLOODING
4173,IN,4/22/2014,DR,SEVERE WINTER STORM AND SNOWSTORM
4174,AR,4/29/2014,DR,"SEVERE STORMS,TORNADOES, AND FLOODING"
4175,MS,4/30/2014,DR,"SEVERE STORMS, TORNADOES, AND FLOODING"
4176,AL,5/2/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4177,FL,5/6/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4178,VT,6/11/2014,DR,SEVERE STORMS AND FLOODING
4179,NE,6/17/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4180,NY,7/8/2014,DR,SEVERE STORMS AND FLOODING
4181,IA,7/14/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4182,MN,7/21/2014,DR,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
4183,NE,7/24/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4184,IA,7/24/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4185,NE,7/28/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4186,SD,7/28/2014,DR,"SEVERE STORMS, TORNADOES, AND FLOODING"
4187,IA,8/5/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4188,WA,8/11/2014,DR,WILDFIRES
4189,TN,8/13/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4190,ND,8/19/2014,DR,SEVERE STORMS AND FLOODING
4191,GU,9/10/2014,DR,TROPICAL STORM HALONG
4192,AS,9/10/2014,DR,"SEVERE STORMS, FLOODING, AND LANDSLIDES"
4193,CA,9/11/2014,DR,EARTHQUAKE
4194,HI,9/12/2014,DR,TROPICAL STORM ISELLE
4195,MI,9/25/2014,DR,SEVERE STORMS AND FLOODING
4196,KY,9/30/2014,DR,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
4197,NM,10/6/2014,DR,SEVERE STORMS AND FLOODING
4198,MT,10/9/2014,DR,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
4199,NM,10/29/2014,DR,SEVERE STORMS AND FLOODING
4200,MO,10/31/2014,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4201,HI,11/3/2014,DR,PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW
4202,NV,11/5/2014,DR,SEVERE STORMS AND FLOODING
4203,AZ,11/5/2014,DR,SEVERE STORMS AND FLOODING
4204,NY,12/22/2014,DR,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"
4205,MS,1/7/2015,DR,SEVERE STORMS AND TORNADOES
4206,CA,1/27/2015,DR,"SEVERE STORMS, FLOODING, AND MUDSLIDES"
4207,VT,2/3/2015,DR,SEVERE WINTER STORM
4208,ME,3/12/2015,DR,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"
4209,NH,3/25/2015,DR,SEVERE WINTER STORM AND SNOWSTORM
4210,WV,3/31/2015,DR,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"
4211,TN,4/2/2015,DR,SEVERE WINTER STORM AND FLOODING
4212,RI,4/3/2015,DR,SEVERE WINTER STORM AND SNOWSTORM
4213,CT,4/8/2015,DR,SEVERE WINTER STORM AND SNOWSTORM
4214,MA,4/13/2015,DR,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"
4215,GA,4/20/2015,DR,SEVERE WINTER STORM 
4216,KY,4/30/2015,DR,"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES "
4217,KY,5/1/2015,DR,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"
4218,KY,5/12/2015,DR,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"
4219,WV,5/14/2015,DR,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
4220,WV,5/18/2015,DR,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
4221,WV,5/21/2015,DR,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"
4222,OK,5/26/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4223,TX,5/29/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING"
4224,GU,6/5/2015,DR,TYPHOON DOLPHIN
4225,NE,6/25/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4226,AR,6/26/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4227,WY,7/7/2015,DR,SEVERE STORMS AND FLOODING
4228,LA,7/13/2015,DR,SEVERE STORMS AND FLOODING
4229,CO,7/16/2015,DR,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"
4230,KS,7/20/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4231,NJ,7/22/2015,DR,SEVERE STORM
4232,VT,7/29/2015,DR,SEVERE STORM AND FLOODING
4233,SD,7/30/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4234,IA,7/31/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4235,MP,8/5/2015,DR,TYPHOON SOUDELOR
4236,WV,8/7/2015,DR,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"
4237,SD,8/7/2015,DR,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
4238,MO,8/7/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
4239,KY,8/12/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE"
4240,CA,9/22/2015,DR,VALLEY FIRE AND BUTTE FIRE
4241,SC,10/5/2015,DR,SEVERE STORMS AND FLOODING
4242,WA,10/15/2015,DR,SEVERE WINDSTORM
4243,WA,10/20/2015,DR,WILDFIRES AND MUDSLIDES
4244,AK,10/30/2015,DR,SEVERE STORM
4245,TX,11/25/2015,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"
