State,Unemployment,Unemployment Rate (%)
North Dakota,11000,2.70%
Nebraska,30000,3.00%
South Dakota,14000,3.10%
New Hampshire,25000,3.40%
Utah,52000,3.50%
Hawaii,25000,3.60%
Vermont,13000,3.70%
Iowa,62000,3.70%
Minnesota,112000,3.70%
Colorado,110000,3.90%
Montana,22000,4.10%
Idaho,33000,4.10%
Wyoming,13000,4.20%
Kansas,63000,4.20%
Oklahoma,78000,4.20%
Maine,30000,4.40%
Virginia,189000,4.40%
Texas,584000,4.50%
Wisconsin,143000,4.60%
Indiana,157000,4.80%
Delaware,23000,4.90%
Ohio,277000,4.90%
Missouri,156000,5.00%
Massachusetts,178000,5.00%
Pennsylvania,330000,5.10%
Arkansas,69000,5.20%
Maryland,164000,5.20%
New York,513000,5.30%
Kentucky,105000,5.40%
Michigan,258000,5.40%
Florida,522000,5.40%
Connecticut,106000,5.60%
New Jersey,255000,5.60%
Oregon,112000,5.70%
Washington,200000,5.70%
North Carolina,274000,5.70%
Tennessee,177000,5.80%
Georgia,280000,5.90%
Illinois,386000,5.90%
Rhode Island,33000,6.00%
South Carolina,135000,6.00%
Alabama,131000,6.10%
Arizona,193000,6.10%
California,1183000,6.20%
Louisiana,135000,6.30%
Alaska,24000,6.50%
Mississippi,83000,6.50%
New Mexico,61000,6.60%
West Virginia,53000,6.70%
Nevada,96000,6.70%
Washington D.C.,27000,6.90%
Source,,
Date of Data,,
Note,,
Quote,,
