""
"Comparison of State and Local Government Spending and Debt"
"in the United States"
"Fiscal Year 2015"
"Amounts in $ billion"
"State","State & Local Spending","","State & Local Debt","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","42.9","g","0.0","","204.2","a","1.6","a","4.9","e"
"Alaska","17.1","g","0.0","","52.8","a","-0.5","a","0.7","e"
"Arizona","54.5","g","0.0","","290.6","a","0.9","a","6.8","e"
"Arkansas","25.9","g","0.0","","123.2","a","1.5","a","3.0","e"
"California","493.9","g","0.0","","2,458.5","a","4.1","a","39.0","e"
"Colorado","56.7","g","0.0","","314.9","a","3.6","a","5.4","e"
"Connecticut","44.3","g","0.0","","258.5","a","0.6","a","3.6","e"
"Delaware","11.4","g","0.0","","68.1","a","2.0","a","0.9","e"
"District of Columbia","16.8","g","0.0","","122.5","a","2.5","a","0.7","e"
"Florida","166.6","g","0.0","","882.8","a","3.1","a","20.2","e"
"Georgia","80.9","g","0.0","","495.7","a","2.6","a","10.2","e"
"Hawaii","17.3","g","0.0","","79.7","a","1.7","a","1.4","e"
"Idaho","11.9","g","0.0","","65.2","a","1.9","a","1.7","e"
"Illinois","142.8","g","0.0","","775.0","a","2.3","a","12.8","e"
"Indiana","54.3","g","0.0","","336.4","a","1.7","a","6.6","e"
"Iowa","34.1","g","0.0","","174.1","a","0.8","a","3.1","e"
"Kansas","28.2","g","0.0","","147.8","a","0.2","a","2.9","e"
"Kentucky","41.2","g","0.0","","194.6","a","1.1","a","4.4","e"
"Louisiana","48.0","g","0.0","","243.3","a","1.7","a","4.7","e"
"Maine","13.3","g","0.0","","56.6","a","0.4","a","1.3","e"
"Maryland","67.3","g","0.0","","363.8","a","1.5","a","6.0","e"
"Massachusetts","85.5","g","0.0","","476.7","a","2.0","a","6.8","e"
"Michigan","90.8","g","0.0","","466.5","a","1.4","a","9.9","e"
"Minnesota","63.0","g","0.0","","333.3","a","2.4","a","5.5","e"
"Mississippi","29.1","g","0.0","","107.1","a","0.7","a","3.0","e"
"Missouri","51.1","g","0.0","","293.4","a","1.3","a","6.1","e"
"Montana","10.0","g","0.0","","45.9","a","3.5","a","1.0","e"
"Nebraska","21.3","g","0.0","","114.0","a","2.1","a","1.9","e"
"Nevada","23.6","g","0.0","","141.3","a","2.8","a","2.9","e"
"New Hampshire","11.8","g","0.0","","72.6","a","0.8","a","1.3","e"
"New Jersey","108.7","g","0.0","","568.2","a","1.8","a","8.9","e"
"New Mexico","22.4","g","0.0","","92.2","a","0.7","a","2.1","e"
"New York","313.8","g","0.0","","1,441.0","a","1.4","a","19.7","e"
"North Carolina","84.5","g","0.0","","499.4","a","2.7","a","10.0","e"
"North Dakota","9.6","g","0.0","","54.8","a","-2.1","a","0.8","e"
"Ohio","121.7","g","0.0","","608.1","a","1.8","a","11.6","e"
"Oklahoma","34.5","g","0.0","","180.4","a","1.3","a","3.9","e"
"Oregon","45.2","g","0.0","","215.3","a","4.1","a","4.0","e"
"Pennsylvania","134.2","g","0.0","","689.2","a","1.7","a","12.8","e"
"Rhode Island","11.9","g","0.0","","57.0","a","1.1","a","1.1","e"
"South Carolina","46.0","g","0.0","","198.7","a","1.9","a","4.9","e"
"South Dakota","7.5","g","0.0","","46.7","a","1.8","a","0.9","e"
"Tennessee","58.3","g","0.0","","314.2","a","2.0","a","6.6","e"
"Texas","241.7","g","0.0","","1,586.5","a","3.8","a","27.4","e"
"All states combined","3,368.0","g","0.0","","17,947.0","a","2.4","a","320.9","e"
"Utah","26.1","g","0.0","","147.1","a","3.3","a","3.0","e"
"Vermont","7.6","g","0.0","","30.4","a","0.2","a","0.6","e"
"Virginia","77.8","g","0.0","","479.8","a","1.4","a","8.4","e"
"Washington","81.7","g","0.0","","443.7","a","2.9","a","7.2","e"
"West Virginia","17.0","g","0.0","","73.7","a","0.1","a","1.8","e"
"Wisconsin","59.5","g","0.0","","305.8","a","1.8","a","5.8","e"
"Wyoming","8.9","g","0.0","","38.6","a","0.4","a","0.6","e"

"Legend:"
" e - out-year estimate in US budget"
" a - actual reported"
" g - 'guesstimated' projection by usgovernmentspending.com"
